timestamp,temp_in,hum_in,temp_out,hum_out,open_close
1523088000,21.236668,47.985001,21.570000,41.410000,0
1523088060,21.270000,48.010002,20.910000,41.860001,0
1523088120,21.323334,48.025002,20.930000,41.770000,0
1523088180,21.369999,48.057499,21.570000,41.720001,0
1523088240,21.353334,48.157501,20.910000,41.660000,0
1523088300,21.345001,48.150002,20.930000,41.639999,0
1523088360,21.325001,48.377502,21.570000,41.549999,0
1523088420,21.209999,48.154999,20.910000,41.580002,0
1523088480,21.070000,48.217499,20.930000,41.509998,0
1523088540,20.993334,48.165001,21.570000,41.599998,0
1523088600,21.070000,48.343334,20.910000,41.580002,0
1523088660,21.153334,48.382500,21.570000,41.549999,0
1523088720,21.235001,48.462502,21.570000,41.459999,0
1523088780,21.340000,48.555000,21.570000,41.450001,0
1523088840,21.369999,48.652500,21.570000,41.430000,0
1523088900,21.346666,48.139999,21.570000,41.430000,0
1523088960,21.270000,48.287498,21.549999,41.369999,0
1523089020,21.223333,48.504997,21.570000,41.349998,0
1523089080,21.209999,48.520000,21.570000,41.340000,0
1523089140,21.353333,48.520000,20.930000,41.259998,0
1523089200,21.312500,48.190002,20.910000,41.310001,0
1523089260,21.360001,48.392502,21.570000,41.279999,0
1523089320,21.285000,47.832500,20.930000,41.200001,1
1523089380,21.116667,47.767502,20.910000,41.160000,0
1523089440,21.075001,47.945000,20.910000,41.169998,0
1523089500,21.020000,48.099998,20.930000,41.160000,0
1523089560,21.055000,47.962502,20.930000,41.049999,0
1523089620,21.066666,48.180000,20.969999,41.029999,0
1523089680,21.017500,48.217499,20.910000,41.049999,0
1523089740,21.086666,47.872498,20.969999,40.990002,0
1523089800,21.105000,48.119999,20.969999,40.959999,0
1523089860,21.040001,48.002499,20.950001,40.970001,0
1523089920,21.090000,48.012501,21.000000,40.990002,0
1523089980,21.176666,47.395000,20.969999,40.910000,0
1523090040,21.260000,47.377502,20.950001,40.970001,0
1523090100,21.373333,48.095001,20.969999,40.930000,0
1523090160,21.435001,47.687500,21.000000,40.910000,0
1523090220,21.459999,47.590000,20.969999,41.349998,0
1523090280,21.529999,47.177498,21.020000,41.320000,0
1523090340,20.936666,47.114998,21.000000,41.349998,0
1523090400,21.017500,46.927502,21.000000,41.310001,0
1523090460,21.030001,46.834999,21.000000,41.220001,0
1523090520,21.059999,47.393333,21.020000,41.060001,0
1523090580,21.136667,47.290001,21.020000,41.080002,0
1523090640,21.192501,47.197502,21.000000,41.049999,0
1523090700,21.303333,47.415001,21.020000,41.000000,0
1523090760,21.400000,47.382500,21.020000,40.939999,0
1523090820,21.466667,47.634998,21.059999,40.820000,0
1523090880,21.530001,47.565002,21.040001,40.639999,0
1523090940,21.426666,47.483334,21.020000,40.740002,0
1523091000,21.582500,47.372498,20.969999,40.330002,0
1523091060,21.766666,47.417500,21.020000,40.150002,0
1523091120,21.616667,47.869999,20.950001,40.009998,1
1523091180,21.433332,47.579998,20.950001,40.099998,0
1523091240,21.455000,47.562500,20.930000,39.639999,0
1523091300,21.516666,46.942501,20.910000,39.549999,0
1523091360,21.692501,46.879997,20.930000,39.049999,0
1523091420,21.795000,46.562500,21.530001,39.119999,0
1523091480,21.863333,46.422501,21.549999,38.799999,0
1523091540,21.889999,46.110001,21.530001,38.619999,0
1523091600,21.973333,46.080002,21.490000,38.470001,0
1523091660,22.002501,46.064999,21.510000,38.730000,0
1523091720,21.856667,45.867500,21.469999,38.380001,0
1523091780,21.950001,45.924999,21.440001,38.439999,0
1523091840,21.923334,46.202499,21.440001,37.959999,0
1523091900,21.889999,46.139999,21.400000,37.549999,0
1523091960,21.733334,45.590000,21.420000,37.540001,0
1523092020,21.912500,36.919998,21.379999,37.110001,0
1523092080,22.006666,46.285000,21.360001,37.049999,0
1523092140,22.057499,45.584999,21.340000,36.529999,0
1523092200,22.033335,45.636665,21.360001,36.619999,0
1523092260,22.035000,45.522499,21.290001,36.250000,0
1523092320,22.046667,45.187500,21.320000,36.439999,0
1523092380,22.030001,45.510002,21.290001,36.099998,0
1523092440,21.930000,45.625000,21.250000,35.669998,0
1523092500,21.837500,46.400002,21.270000,35.740002,0
1523092560,21.836666,46.337502,21.270000,35.290001,0
1523092620,21.905001,46.154999,21.230000,35.369999,0
1523092680,21.959999,46.260002,21.209999,34.959999,0
1523092740,21.990000,46.227501,21.190001,34.610001,0
1523092800,21.980000,46.287498,21.170000,34.869999,0
1523092860,22.005001,46.320000,21.120001,34.580002,0
1523092920,21.796667,46.797501,21.150000,34.299999,1
1523092980,21.582500,46.992500,21.100000,34.470001,0
1523093040,21.543333,47.473331,21.100000,34.220001,0
1523093100,21.580000,43.302002,21.120001,33.919998,0
1523093160,21.576666,40.824997,21.100000,33.720001,0
1523093220,21.665001,39.785000,21.100000,34.009998,0
1523093280,21.706667,40.155998,21.120001,33.779999,0
1523093340,21.700001,40.337502,21.120001,33.610001,0
1523093400,21.646667,41.320000,21.120001,33.380001,0
1523093460,21.654999,41.347500,21.120001,33.200001,0
1523093520,21.653334,41.560001,21.150000,33.080002,0
1523093580,21.642500,41.310001,21.120001,33.450001,0
1523093640,21.660000,40.512501,21.150000,33.220001,0
1523093700,21.525000,41.002499,21.120001,33.080002,0
